"Idiom","Pinyin","Letter","Explanation","Synonym"
"碍口识羞","ài kǒu shí xiū","ai kou shi xiu","碍口：说不出口。指怕羞而不说话。",""
"爱礼存羊","ài lǐ cún yáng","ai li cun yang","由于爱惜古礼，不忍使它废弛，因而保留古礼所需要的祭羊。比喻为维护根本而保留有关仪节。",""
"哀梨蒸食","āi lí zhēng shí","ai li zheng shi","将哀梨蒸着吃。比喻不识货↓里糊涂地糟堂东西。",""
"爱毛反裘","ài máo fǎn qiú","ai mao fan qiu","古时穿皮毛衣服，毛的一面向外。比喻不重视根本，轻重倒置。",""
"暧昧不明","ài mèi bù míng","ai mei bu ming","指不清不楚，不明不白。",""
"暧昧之情","ài mèi zhī qíng","ai mei zhi qing","行为不光明，内有不可告人的隐情。也指男女互相爱悦可能的私事。",""
"挨门逐户","āi mén zhú hù","ai men zhu hu","挨按照顺序，按照住户的顺序一家也不漏。","挨门挨户"
"爱民如子","ài mín rú zǐ","ai min ru zi","旧时称赞某些统治者爱护百姓，就象爱护自己的子女一样。",""
"爱莫能助","ài mò néng zhù","ai mo neng zhu","爱：爱惜；莫：不。虽然心中关切同情，却没有力量帮助。",""
"爱莫之助","ài mò zhī zhù","ai mo zhi zhu","爱爱惜；莫不。虽然心中关切同情，却没有力量帮助。",""
"碍难从命","ài nán cóng mìng","ai nan cong ming","碍妨碍；从听从。由于有所妨碍，难以遵从吩咐，是委婉拒绝对方要求的话。",""
"騣女痴男","ái nǚ chī nán","ai nu chi nan","指迷恋于情爱的男女。","騣女痴儿"
"爱钱如命","ài qián rú mìng","ai qian ru ming","某些人贪爱钱财就像吝啬生命一样。形容十分贪婪、刻薄。",""
"爱人好士","ài rén hào shì","ai ren hao shi","爱护、重视人才。",""
"爱人利物","ài rén lì wù","ai ren li wu","爱护人民，力求有利于人民。",""
"爱人以德","ài rén yǐ dé","ai ren yi de","德：德行。按照道德标准去爱护人。",""
"爱日惜力","ài rì xī lì","ai ri xi li","珍惜时间，不虚掷精力。",""
"爱如己出","ài rú jǐ chū","ai ru ji chu","像对待亲生子女那样地爱护。",""
"爱如珍宝","ài rú zhēn bǎo","ai ru zhen bao","形容十分喜欢。",""
"捱三顶四","āi sān dǐng sì","ai san ding si","形容人群拥挤，接连不断。",""
"挨三顶五","āi sān dǐng wǔ","ai san ding wu","形容人多，连接不断。",""
"捱三顶五","āi sān dǐng wǔ","ai san ding wu","形容人群拥挤，接连不断。",""
"挨山塞海","āi shān sè hǎi","ai shan se hai","形容人极多而拥挤不堪。",""
"哀丝豪竹","āi sī háo zhú","ai si hao zhu","丝指弦乐器；竹指管乐器；豪竹粗大的竹管制成的乐器。形容管弦乐声的悲壮动人。",""
"哀声叹气","āi shēng tàn qì","ai sheng tan qi","因伤感郁闷或悲痛而发出叹息的声音。",""
"唉声叹气","āi shēng tàn qì","ai sheng tan qi","因伤感郁闷或悲痛而发出叹息的声音。",""
"嗳声叹气","ài shēng tàn qì","ai sheng tan qi","因伤感、烦闷或痛苦而发出叹息的声音。",""
"爱生恶死","ài shēng wù sǐ","ai sheng wu si","恶厌恶。喜爱生存，厌恶死亡。",""
"碍手碍脚","ài shǒu ài jiǎo","ai shou ai jiao","妨碍别人做事。",""
"哀思如潮","āi sī rú cháo","ai si ru chao","哀伤的思绪如同潮涌一般。形容极度悲痛。",""
"爱素好古","ài sù hào gǔ","ai su hao gu","指爱好朴质，不趋时尚。",""
"哀天叫地","āi tiān jiào dì","ai tian jiao di","哀悲哀。悲哀地呼天喊地。形容悲痛至极。",""
"騣童钝夫","ái tóng dùn fū","ai tong dun fu","指愚昧笨拙的人。",""
"哀痛欲绝","āi tòng yù jué","ai tong yu jue","伤心得要死。形容悲痛到了极点。",""
"爱屋及乌","ài wū jí wū","ai wu ji wu","因为爱一个人而连带爱他屋上的乌鸦。比喻爱一个人而连带地关心到与他有关的人或物。",""
"爱惜羽毛","ài xī yǔ máo","ai xi yu mao","羽毛：比喻人的声望。比喻为珍惜自己的名声，行事十分谨慎。",""
"爱憎分明","ài zēng fēn míng","ai zeng fen ming","憎：恨。爱和恨的立场和态度十分鲜明。",""
"碍足碍手","ài zú ài shǒu","ai zu ai shou","碍阻碍。妨碍别人做事。同碍手碍脚”。",""
"阿娇金屋","ā jiāo jīn wū","a jiao jin wu","阿娇指汉武帝刘彻的姑母（长公主刘娇）的女儿。原指汉武帝刘彻要用金屋接纳阿娇为妇。这里泛指美丽高贵的女子。",""
"阿猫阿狗","ā māo ā gǒu","a mao a gou","旧时人们常用的小名。引申为任何轻贱的，不值得重视的人或著作。",""
"安安稳稳","ān ān wěn wěn","an an wen wen","形容十分安定稳当。",""
"安邦定国","ān bāng dìng guó","an bang ding guo","邦：泛指国家。使国家安定巩固。",""
"安邦治国","ān bāng zhì guó","an bang zhi guo","使国家安定太平。",""
"按兵不动","àn bīng bù dòng","an bing bu dong","按：止住。使军队暂不行动。现也比喻暂不开展工作。",""
"按兵不举","àn bīng bù jǔ","an bing bu ju","犹按兵不动。",""
"按兵束甲","àn bīng shù jiǎ","an bing shu jia","按兵军队停止行进。甲铠甲，泛指武器装备。止兵不前，捆起铠甲。指解除武装，停战言降。",""
"案兵束甲","àn bīng shù jiǎ","an bing shu jia","放下兵器，捆束铠甲。指停止作战。",""
"安步当车","ān bù dàng chē","an bu dang che","安：安详，不慌忙；安步：缓缓步行。以从容的步行代替乘车。",""
"按步就班","àn bù jiù bān","an bu jiu ban","指按照条理或遵循一定的程序。参见按部就班”。",""
"按部就班","àn bù jiù bān","an bu jiu ban","部、班：门类，次序；就：归于。按照一定的步骤、顺序进行。也指按老规矩办事，缺乏创新精神。",""
"安不忘危","ān bù wàng wēi","an bu wang wei","在安全的时候不忘记危难。意思是时刻谨慎小心，提高警惕。",""
"安常处顺","ān cháng chǔ shùn","an chang chu shun","安：习惯于；处：居住，居于；顺：适合，如意。习惯于平稳的日子，处于顺利的境遇中。",""
"安常履顺","ān cháng lǚ shùn","an chang lu shun","习惯于平稳的日子，处于顺利的境遇中。同安常处顺”。",""
"安常守分","ān cháng shǒu fèn","an chang shou fen","分：本分，自己分内的。习惯于平稳的生活，安守本分。",""
"安常守故","ān cháng shǒu gù","an chang shou gu","习惯于日常的平稳生活，保守旧的一套。指守旧不知变革。",""
"安常习故","ān cháng xí gù","an chang xi gu","习习惯；故旧例。安于常规，习惯旧例。形容按照常规和老套办事，守旧而不思变革。",""
"安车蒲轮","ān chē pú lún","an che pu lun","让被征请者坐在安车上，并用蒲叶包着车轮，以便行驶时车身更为安稳。表示皇帝对贤能者的优待。",""
"暗锤打人","àn chuí dǎ rén","an chui da ren","比喻暗中对人进行攻击。",""
"暗淡无光","àn dàn wú guāng","an dan wu guang","暗淡：不明亮，昏暗。形容失去光彩。",""
"黯淡无光","àn dàn wú guāng","an dan wu guang","黯淡同暗淡”，不明亮，昏暗。形容失去光彩。",""
"安堵乐业","ān dǔ lè yè","an du le ye","安堵：相安，安定。犹言安居乐业。",""
"暗斗明争","àn dòu míng zhēng","an dou ming zheng","暗里明里都在进行斗争。常形容尽力争权夺利。",""
"安堵如故","ān dǔ rú gù","an du ru gu","堵：墙壁，居所。故：原来的。像原来一样相安无事。",""
"按堵如故","àn dǔ rú gù","an du ru gu","形容秩序良好，百姓和原来一样安居乐业。",""
"暗度陈仓","àn dù chén cāng","an du chen cang","指正面迷惑敌人，而从侧翼进行突然袭击。亦比喻暗中进行活动。陈仓，古县名，在今陕西省宝鸡市东，为通向汉中的交通孔道。",""
"暗渡陈仓","àn dù chén cāng","an du chen cang","渡：越过；陈仓：古县名，在今陕西省宝鸡市东。比喻用造假象的手段来达到某种目的。也隐喻男女私通。",""
"暗度金针","àn dù jīn zhēn","an du jin zhen","度通渡”，过渡，引申为传授◇用于比喻秘诀。又借指幕后交易。",""
"案牍劳形","àn dú láo xíng","an du lao xing","文书劳累身体。形容公事繁忙。",""
"案牍之劳","àn dú zhī láo","an du zhi lao","案牍公文。办理公文的劳累。",""
"安分守己","ān fèn shǒu jǐ","an fen shou ji","分：本分。规矩老实，守本分，不做违法的事。","安份守己|安分知足"
"安富恤贫","ān fù xù pín","an fu xu pin","使富有的人安定，贫穷的人得到救济。",""
"安富恤穷","ān fù xù qióng","an fu xu qiong","安定富有者，振济贫苦者。指统治者治国安民之道。",""
"安富尊荣","ān fù zūn róng","an fu zun rong","安：安逸；富：富有；尊：尊贵；荣：荣耀。安定富足，尊贵荣华。也指安于富裕安乐的生活。",""
"苍白无力","āng bái búi lì","ang bai bui li","苍白灰白。形容贫弱无力。",""
"昂藏七尺","áng cáng qī chǐ","ang cang qi chi","指轩昂伟岸的男子汉。",""
"昂然自若","áng ráng zì ruò","ang rang zi ruo","昂然：气概昂扬，大模大样；自若：象平常一样。形容无所顾虑，从容自如。","昂昂自若"
"昂然直入","áng rán zhí rù","ang ran zhi ru","昂首挺胸地径直走进去。形容傲然威武的样子。",""
"昂然自得","áng rán zì dé","ang ran zi de","自得：自己感到舒适。指大模大样，满不在乎的样子。",""
"昂首阔步","áng shǒu kuò bù","ang shou kuo bu","昂：仰，高抬。抬起头迈开大步向前。形容精神抖擞，意气风发。",""
"卬首信眉","áng shǒu shēn méi","ang shou shen mei","信，通伸”。昂首伸眉。形容意气昂扬，不随波逐流。",""
"昂首伸眉","áng shǒu shēn méi","ang shou shen mei","伸：扬。抬头扬眉。形容意气昂扬的样子。",""
"昂首天外","áng shǒu tiān wài","ang shou tian wai","抬起头望着天边。形容态度傲慢，或做事脱离实际。",""
"昂首挺胸","áng shǒu tǐng xiōng","ang shou ting xiong","抬起头，挺起胸膛。形容斗志高，士气旺。",""
"昂首望天","áng shǒu wàng tiān","ang shou wang tian","仰起头，望着天。喻指眼光向上，作风浮泛，不肯放下架子、深入基层。",""
"卬头阔步","áng tóu kuò bù","ang tou kuo bu","指抬头大步前行。",""
"昂头阔步","áng tóu kuò bù","ang tou kuo bu","昂仰，高抬。抬起头迈开大步向前。形容精神备发或态度傲慢。参见昂首阔步”。",""
"昂头天外","áng tóu tiān wài","ang tou tian wai","昂抬起。抬起头望着天边。形容态度傲慢或做事脱离实际。",""
"昂头挺胸","áng tóu tǐng xiōng","ang tou ting xiong","抬起头，挺起胸膛。形容斗志高，士气旺。参见昂首挺胸”。",""
"安国富民","ān guó fù mín","an guo fu min","使国家安定，使人民富裕。",""
"安国宁家","ān guó níng jiā","an guo ning jia","指治理国家。",""
"安故重迁","ān gù zhòng qiān","an gu zhong qian","指安于旧俗，不轻易改变。",""
"昂霄耸壑","áng xiāo sǒng hè","ang xiao song he","昂高；壑峪。高出霄汉，耸立山壑。形容才能杰出，建树宏大功业。也形容志气高昂，胸怀广阔。",""
"盎盂相击","àng yú xiāng jī","ang yu xiang ji","比喻一家人争吵。",""
"盎盂相敲","àng yú xiāng qiāo","ang yu xiang qiao","比喻一家人争吵。",""
"岸谷之变","àn gǔ zhī bìan","an gu zhi bian","比喻政治上的重大变化。",""
"黯晦消沉","àn huì xiāo chén","an hui xiao chen","指湮没消失。",""
"安魂定魄","ān hún dìng pò","an hun ding po","魂、魄：人的灵气、精神。指使人心安定。",""
"安家乐业","ān jiā lè yè","an jia le ye","犹安居乐业。指安定愉快地生活和劳动。",""
"安家立业","ān jiā lì yè","an jia li ye","安置家庭，创立基业或事业。也指长期在一个地方劳动和生活。",""
"安家落户","ān jiā luò hù","an jia luo hu","到一个新地方安家，长期居住。",""
"案剑瞋目","àn jiàn chēn mù","an jian chen mu","案同按”，握住；瞋瞪眼。握住宝剑，瞪大双眼。",""
"暗箭明枪","àn jiàn míng qiāng","an jian ming qiang","比喻各种公开的攻击和暗地里的中伤。",""
"暗箭难防","àn jiàn nán fáng","an jian nan fang","冷箭最难防范。比喻阴谋诡计难以预防。",""
"暗箭伤人","àn jiàn shāng rén","an jian shang ren","放冷箭伤害人。比喻暗地里用某种手段伤害人。",""
"暗箭中人","àn jiàn zhòng rén","an jian zhong ren","暗暗中；箭放箭；中中伤。放冷箭伤害人。比喻暗中用阴险的手段攻击或陷害别人。",""
"按甲寝兵","àn jiǎ qǐn bīng","an jia qin bing","收拾起铠甲武器。比喻停止军事行动。",""
"按甲休兵","àn jiǎ xiū bīng","an jia xiu bing","收拾起铠甲武器。比喻停止军事行动。",""
"案甲休兵","àn jiǎ xiū bīng","an jia xiu bing","指停止战事，休养士卒。",""
"安居乐业","ān jū lè yè","an ju le ye","安：安定；乐：喜爱，愉快；业：职业。指安定愉快地生活和劳动。",""
"安良除暴","ān liáng chú bào","an liang chu bao","安抚善良的人，铲除强暴的人。",""
"安老怀少","ān lǎo huái shào","an lao huai shao","尊重老人，使其安逸；关怀年轻人，使其信服。",""
"暗绿稀红","àn lǜ xī hóng","an lu xi hong","犹言绿肥红瘦。形容叶盛花稀的暮春景象。",""
"安眉带眼","ān méi dài yǎn","an mei dai yan","长了眉毛，有了眼睛。意思是同样是一个人。",""
"暗昧之事","àn mèi zhī shì","an mei zhi shi","指见不得人的丑事。",""
"安民告示","ān mín gào shì","an min gao shi","安定人心的布告。现也指把要商量的或要办的事情预先通知大家。",""
"按名责实","àn míng zé shí","an ming ze shi","按照事物名称，要求与实相符。",""
"鞍马劳顿","ān mǎ láo dùn","an ma lao dun","骑马赶路过久，劳累疲困。形容旅途劳累。",""
"鞍马劳倦","ān mǎ láo juàn","an ma lao juan","指长途跋涉或战斗中备尝困乏。",""
"鞍马劳困","ān mǎ láo kùn","an ma lao kun","指长途跋涉或战斗中备尝困乏。",""
"鞍马劳神","ān mǎ láo shén","an ma lao shen","形容旅途劳累。同鞍马劳顿”。",""
"鞍马之劳","ān mǎ zhī láo","an ma zhi lao","鞍马：鞍子和马，指长途跋涉或打仗。形容旅途或战斗的劳苦。",""
"按捺不住","àn nà bù zhù","an na bu zhu","按捺：压抑，忍耐。心里急燥，克制不住。",""
"安内攘外","ān nèi rǎng wài","an nei rang wai","原就药的疗效而言。后多指安定内部，排除外患。",""
"按辔徐行","àn pèi xú xíng","an pei xu xing","辔：马缰绳。轻轻按着缰绳，让马慢慢地走。",""
"安贫乐道","ān pín lè dào","an pin le dao","安于贫穷，以坚持自己的信念为乐。旧时士大夫所主张的为人处世之道。",""
"安贫乐贱","ān pín lè jiàn","an pin le jian","安于贫贱，并以此为乐。",""
"安贫守道","ān pín shǒu dào","an pin shou dao","安于贫穷，恪守信仰。",""
"鞍前马后","ān qián mǎ hòu","an qian ma hou","马前马后。指追随左右。",""
"暗气暗恼","àn qì àn nǎo","an qi an nao","受了气闷在心里。",""
"岸然道貌","àn rán dào mào","an ran dao mao","指严肃的神态。",""
"安然如故","ān rán rú gù","an ran ru gu","还象原来那样安安稳稳。",""
"黯然伤神","àn rán shāng shén","an ran shang shen","沮丧的样子。情绪低沉，心神忧伤。",""
"黯然神伤","àn rán shén shāng","an ran shen shang","指心神悲沮的样子。",""
"黯然失色","àn rán shī sè","an ran shi se","黯然：心里不舒服、情绪低落的样子；失色：因惊恐而变以脸色。本指心怀不好，脸色难看。后多比喻相形之下很有差距，远远不如。",""
"黯然无色","àn rán wú sè","an ran wu se","指事物失去原有光彩，变得暗淡无光。",""
"安然无事","ān rán wú shì","an ran wu shi","犹言平安无事。",""
"安然无恙","ān rán wú yàng","an ran wu yang","恙：病。原指人平安没有疾病。现泛指事物平安未遭损害。",""
"黯然销魂","àn rán xiāo hún","an ran xiao hun","黯然：心怀沮丧、面色难看的样子；销魂：灵魂离开肉体。心怀沮丧得好象丢了魂似的。形容非常悲伤或愁苦。",""
"安忍无亲","ān rěn wú qīn","an ren wu qin","安心于做残忍的事情，因而无所谓亲人。",""
"安若泰山","ān ruò tài shān","an ruo tai shan","形容极其平安稳固。同安如泰山”。",""
"暗弱无断","àn ruò wú duàn","an ruo wu duan","愚昧软弱，没有决断。",""
"安如盘石","ān rú pán shí","an ru pan shi","安安稳；盘石大石头。像盘石一样安稳不动。形容非常稳固，不可动摇。",""
"安如磐石","ān rú pán shí","an ru pan shi","磐石：大石头。如同磐石一般安然不动。形容非常稳固。",""
"安如太山","ān rú tài shān","an ru tai shan","形容极其平安稳固。泰，也写作太”。同安如泰山”。",""
"安如泰山","ān rú tài shān","an ru tai shan","形容象泰山一样稳固，不可动摇。",""
"安神定魄","ān shén dìng pò","an shen ding po","魄魂魄。安定心神，恢复神智。",""
"安生服业","ān shēng fú yè","an sheng fu ye","指平稳地生活，安心地从事自己的生业。",""
"安生乐业","ān shēng lè yè","an sheng le ye","犹安居乐业。指安定愉快地生活和劳动。",""
"安身乐业","ān shēn lè yè","an shen le ye","指安稳快乐地过日子。",""
"安身立命","ān shēn lì mìng","an shen li ming","安身：在某处安下身来；立命：精神有所寄托。指生活有着落，精神有所寄托。",""
"安身为乐","ān shēn wéi lè","an shen wei le","身子安定就是快乐。",""
"安身之处","ān shēn zhī chù","an shen zhi chu","指得以立足容身的地方。",""
"安身之地","ān shēn zhī dì","an shen zhi di","存身的地方。批在某地居住、生活，或以某地作为建业的根基。",""
"暗室不欺","àn shì bù qī","an shi bu qi","在没有人看见的地方，也不做见不得人的事。",""
"安时处顺","ān shí chǔ shùn","an shi chu shun","安于常分，顺其自然。形容满足于现状。",""
"暗室逢灯","àn shì féng dēng","an shi feng deng","比喻在危难或困惑中，忽然遇人援救或指点引导。",""
"暗室亏心","àn shì kuī xīn","an shi kui xin","在暗中做见不得人的亏心事。",""
"安室利处","ān shì lì chù","an shi li chu","指安全便利的处所。",""
"暗室求物","àn shì qiú wù","an shi qiu wu","在没有光亮的房间寻找东西。比喻读书不得要领，难见成效。",""
"暗室欺心","àn shì qī xīn","an shi qi xin","在黑暗的屋子里昧着良心做坏事。指偷偷地做坏事。",""
"安适如常","ān shì rú cháng","an shi ru chang","安静而舒适，象往常一样。指经过某种变动后，恢复了正常，使人感到舒适。",""
"暗室私心","àn shì sī xīn","an shi si xin","指在暗中做见不得人的亏心事。同暗室亏心”。",""
"暗室屋漏","àn shì wū lòu","an shi wu lou","指别人看不见的地方；隐私之室。",""
"暗送秋波","àn sòng qiū bō","an song qiu bo","旧时比喻美女的眼睛象秋天明净的水波一样。指暗中眉目传情。",""
"安土乐业","ān tǔ lè yè","an tu le ye","安居本土，愉快地从事自己的职业。",""
"按图索骥","àn tú suǒ jì","an tu suo ji","索：找；骥：良马。按照画像去寻求好马。比喻墨守成规办事；也比喻按照线索去寻求。",""
"按图索骏","àn tú suǒ jùn","an tu suo jun","指按照画像去寻求好马。比喻墨守成规办事；也比喻按照线索去寻求。参见按图索骥”。",""
"安土重居","ān tǔ zhòng jū","an tu zhong ju","犹安土重迁。指留恋故乡，不愿轻易迁居异地。",""
"安土重旧","ān tǔ zhòng jiù","an tu zhong jiu","指留恋故土，不轻易改变旧俗。",""
"安土重迁","ān tǔ zhòng qiān","an tu zhong qian","土：乡土；重：看得重，不轻易。安于本乡本土，不愿轻易迁移。",""
"安危相易","ān wēi xiāng yì","an wei xiang yi","易：变易，转变。平安与危难互为因果，相互转换。",""
"安危与共","ān wēi yǔ gòng","an wei yu gong","共同享受安乐，共同承担危难。形容关系密切，利害相连。",""
"案无留牍","àn wú liú dú","an wu liu du","桌案上没有积压的公文。形容办理公务干练、及时。",""
"暗无天日","àn wú tiān rì","an wu tian ri","形容在反动势力统治下社会的黑暗。",""
"暗香疏影","àn xiāng shū yǐng","an xiang shu ying","原形容梅花的香味和姿态，后被用为梅花的代称。",""
"安闲自得","ān xián zì dé","an xian zi de","自得：自己感到舒适。安静清闲，感到非常舒适。",""
"安闲自在","ān xián zì zài","an xian zi zai","安静清闲，自由自在。形容清闲无事。",""
"按行自抑","àn xíng zì yì","an xing zi yi","按：克制。约束自己的行为。",""
"安心定志","ān xīn dìng zhì","an xin ding zhi","指安下心来。",""
"安心乐业","ān xīn lè yè","an xin le ye","指心绪安定，生活愉快。",""
"安心乐意","ān xīn lè yì","an xin le yi","原指心情安宁，情绪愉快◇多指内心情愿，十分愉快。",""
"安心落意","ān xīn luò yì","an xin luo yi","放心，无忧虑。",""
"安营下寨","ān yíng xià zhài","an ying xia zhai","安、下建立，安置；寨防守用的栅栏。指部队驻扎下来。也比喻建立临时的劳动或工作基地。",""
"安营扎寨","ān yíng zhā zhài","an ying zha zhai","安、扎：建立，安置；寨：防守用的栅栏。指部队驻扎下来。也比喻建立临时的劳动或工作基地。",""
"安于盘石","ān yú pán shí","an yu pan shi","象盘石一样安然不动。形容安定稳固。",""
"安于现状","ān yú xiàn zhuàng","an yu xian zhuang","对目前的情况习惯了，不愿改变。",""
"安于一隅","ān yù yī yù","an yu yi yu","隅：角落。安心在某一个角落。形容苟安一角，不求进取。",""
"安宅正路","ān zhái zhèng lù","an zhai zheng lu","比喻仁义。谓以仁居心，以义行事。",""
"安枕而卧","ān zhěn ér wò","an zhen er wo","放好枕头睡大觉。比喻太平无事，不必担忧。",""
"暗中摸索","àn zhōng mō suǒ","an zhong mo suo","摸索：寻求，探索。在黑暗中寻找。后比喻没有人指导，独自钻研。",""
"安之若命","ān zhī ruò mìng","an zhi ruo ming","指人遭受的不幸看作命中注定，因而甘心承受。",""
"安之若素","ān zhī ruò sù","an zhi ruo su","安：安然，坦然；之：代词，指人或物；素：平常。安然相处，和往常一样，不觉得有什么不合适。",""
"安坐待毙","ān zuò dài bì","an zuo dai bi","坐着等死。指不积极想办法，坐等灭亡。",""
"嗷嗷待哺","áo áo dài bǔ","ao ao dai bu","嗷嗷：哀鸣声；待：等待；哺：喂食。饥饿时急于求食的样子。形容受饥饿的悲惨情景。",""
"傲不可长","ào bù kě zhǎng","ao bu ke zhang","傲慢之心不可以滋长。",""
"敖不可长","ào bù kě zhǎng","ao bu ke zhang","敖通傲”，傲慢。傲慢之心不可以滋长。",""
"熬肠刮肚","áo cháng guā dù","ao chang gua du","谓从事饮食方面尽力节俭。",""
"鳌愤龙愁","áo fèn lóng chóu","ao fen long chou","如鼍愤怒，如龙忧愁。比喻乐曲的情调悲愤。",""
"熬更守夜","áo gēng shǒu yè","ao geng shou ye","指熬夜。",""
"傲骨嶙嶙","ào gǔ lín lín","ao gu lin lin","傲骨：指高傲不屈的性格。嶙嶙：山崖突兀貌。比喻高傲不屈。",""
"懊悔无及","ào huǐ wú jí","ao hui wu ji","后悔已来不及了。",""
"熬姜呷醋","áo jiāng xiā cù","ao jiang xia cu","比喻生活清苦。",""
"熬枯受淡","áo kū shòu dàn","ao ku shou dan","指忍受清苦的生活。",""
"鳌里夺尊","áo lǐ duó zūn","ao li duo zun","犹言出类拔萃。",""
"傲慢不逊","ào màn bù xùn","ao man bu xun","逊：谦逊。态度高傲自大，对人不讲谦让。",""
"傲慢少礼","ào màn shǎo lǐ","ao man shao li","态度傲慢，对人不讲礼节。",""
"傲慢无礼","ào màn wú lǐ","ao man wu li","态度傲慢，对人不讲礼节。",""
"奥妙无穷","ào miào wú qióng","ao miao wu qiong","奥：深奥。指其中不易为人所知而奇妙有趣之处极多。",""
"鳌鸣鳖应","áo míng biē yīng","ao ming bie ying","比喻声气相通，互相感应。",""
"傲睨得志","ào nì dé zhì","ao ni de zhi","傲睨：傲慢地斜眼看。得志：愿望实现。形容因实现愿望而看不起一切的神情。",""
"傲睨万物","ào nì wàn wù","ao ni wan wu","睨：斜视。斜着眼看一切事物。形容目空一切，什么都瞧不起。",""
"傲睨一切","ào nì yī qiè","ao ni yi qie","睨斜视。斜着眼看一切事物。形容目空一切，什么都瞧不起。",""
"傲睨一世","ào nì yī shì","ao ni yi shi","睨：斜视。高傲地旁观，对当代的一切都不看在眼里。形容傲慢自负，目空一切。",""
