"Idiom","Pinyin","Explanation"
"窍附会","qiān hé fù huì","犹言牵强附会。把本来没有某种意义的事物硬说成有某种意义。也指把不相关联的事物牵拉在一起，混为一谈。"
"窍傅会","qiān hé fù huì","把本来没有某种意义的事物硬说成有某种意义。也指把不相关联的事物牵拉在一起，混为一谈。同窍附会”。"
"前误则","qián wēi hòu zé","前人的危亡，后人应引以为戒。犹言前车之覆，后车之鉴。"
"敲边鼓","qiāo biān gǔ","比喻从旁帮腔或助势。"
"敲门砖","qiāo mén zhuān","敲门的砖石，门敲开后就被抛弃。比喻骗取名利的初步的工具。"
"敲竹杠","qiāo zhū gàng","比喻利用别人的弱点或以某事为借口来讹诈。"
"清君侧","qīng jūn cè","指清除君主身旁的亲信、坏人。"
"清一色","qīng yī sè","原指打麻将时由一种花色组成的一副牌◇比喻全部由同一种成分构成。"
"犬键踪","quǎn jì hú zōng","比喻低弱的身手。"
"人急至","rén jì hǎn zhì","罕少。人很少到的地方。指偏僻荒凉的地方很少有人来过。"
"肉中刺","ròu zhōng cì","比喻最痛恨而急于除掉的东西。"
"三家村","sān jiā cūn","指偏僻的小乡村。"
"杀风景","shā fēng jǐng","损坏美好的景色。比喻在大家高兴的时候，突然出现使人扫兴的事物。"
"苏韩潮","sū hǎi hán cháo","指唐朝韩愈和宋朝苏轼的文章气势磅礴，如海如潮。"
"试金石","shì jīn shí","一种黑色坚硬的石块，用黄金在上面画一条纹，就可以看出黄金的成色。比喻精确可靠的检验方法。"
"石尤风","shí yóu fēng","指打头逆风。"
"鼠键踪","shǔ jì hú zōng","比喻人行踪鬼祟。"
"寿山福","shòu shān fú hǎi","寿象山那样久，福象海那样大。旧时用于祝人长寿多福。"
"手不土","shǒu bù tíng háo","手不停顿地书写。形容不停地写作。"
"守财奴","shǒu cái nú","有钱而非常吝啬的人。"
"耍花腔","shuǎ huā qiāng","用虚假而动听的话骗人。"
"替罪羊","tì zuì yáng","古代犹太教祭礼是替人承担罪过的羊。比喻代人受过。"
"团团转","tuán tuán zhuàn","回环旋转，形容不知道怎么办好。"
"忘年交","wàng nián jiāo","即不拘年岁行辈产差异而结交的朋友。同忘年之好”。"
"忘形交","wàng xíng jiāo","不拘身分、形迹的知心朋友。"
"五里雾","wǔ lǐ wù","比喻模糊恍惚、不明真相的境界。"
"屋上乌","wū shàng wū","屋上的乌鸦。指推爱之所及。"
"下马威","xià mǎ wēi","原指官吏初到任时对下属显示的威风，后泛指一开始就向对方显示自己的威力。"
"笑面虎","xiào miàn hǔ","比喻外表善良，心地凶狠的人。"
"想当然","xiǎng dāng rán","凭主观推断，认为事情大概是或应该是这样。"
"羞以朋","xiū yǐ niú hòu","朋牛的肛门，比喻从属的地位。指不愿处在从属地位，为人牵制。"
"血肉凝","xuè ròu mó hu","血流肉烂，无法辨认器官肢体。形容死亡或受伤的惨状。"
"延津较","yán jīn jiàn hé","指晋时龙泉、太阿两剑在延津会合的故事◇比喻因缘会合。"
"音相应","yáo hū xiāng yìng","远远地互相联系，互相配合。同遥相呼应”。"
"摇亿摆","yáo yáo bǎi bǎi","①形容主意不定。②行走不稳的样子。③坦然自得的样子。"
"一刀切","yī dāo qiē","比喻用划一的办法处理情况或性质不同的事物。"
"一而光","yī ér guāng","比喻彻底清除。同一扫而空”。"
"一风吹","yī fēng chuī","比喻完全勾销（多指决定、结论等）。"
"应声虫","yìng shēng chóng","比喻自己胸无主张，随声附和他人。"
"一溜烟","yī liú yān","形容跑得很快。"
"一硼地","yī niú hǒu dì","指牛鸣声可及之地。比喻距离较近。"
"一牛鸣","yī niú míng","指牛鸣声可及之地。比喻距离较近。同一硼地”。"
"眼中钉","yǎn zhōng dīng","比喻心中最厌恶、最痛恨的人。"
"一掊土","yī póu tǔ","抔用手捧东西。一捧黄土。指坟墓。现多比喻不多的土地或没落、渺小的反动势力。"
"一人敌","yī rén dí","指匹夫之勇，止足以敌一人。"
"一窝蜂","yī wō fēng","一个蜂巢里的蜂一下子都飞出来了。形容许多人乱哄哄地同时说话或行动。"
"一言堂","yī yán táng","旧时商店表示不二价的匾。现比喻领导缺乏民主作风，独断专行，一个人说了算。"
"一字师","yī zì shī","指订正一字之误读，即可为师。亦指更换诗文中一、二字的老师。"
"凿空褥","záo kōng qǔ bàn","指巧立名目，勒索榨取。"
"执牛耳","zhí niú ěr","古代诸侯订立盟约，要割牛耳歃血，由主盟国的代表拿着盛牛耳朵的盘子。故称主盟国为执牛耳。后泛指在某一方面居最有权威的地位。"
"逐客令","zhú kè lìng","秦始皇曾下令驱逐从各国来的客卿。后指主人赶走不受欢迎的客人为下逐客令。"
"走过场","zǒu guò chǎng","形容办事只在形式上过一下，却不实干。"
